Price,Close,High,Low,Open,Volume
Ticker,ABH,ABH,ABH,ABH,ABH
Date,,,,,
2008-04-16,55.0,55.0,55.0,55.0,0
2008-04-17,55.0,55.0,55.0,55.0,0
2008-04-18,55.0,55.0,55.0,55.0,0
2008-04-21,55.0,55.0,55.0,55.0,0
2008-04-22,55.0,55.0,55.0,55.0,0
2008-04-23,55.0,55.0,55.0,55.0,0
2008-04-24,55.0,55.0,55.0,55.0,0
2008-04-25,55.0,55.0,55.0,55.0,0
2008-04-28,55.0,55.0,55.0,55.0,0
2008-04-29,55.0,55.0,55.0,55.0,0
2008-04-30,55.0,55.0,55.0,55.0,0
2008-05-02,55.0,55.0,55.0,55.0,0
2008-05-05,55.0,55.0,55.0,55.0,0
2008-05-06,55.0,55.0,55.0,55.0,0
2008-05-07,55.0,55.0,55.0,55.0,0
2008-05-08,55.0,55.0,55.0,55.0,0
2008-05-09,55.0,55.0,55.0,55.0,0
2008-05-13,55.0,55.0,55.0,55.0,0
2008-05-14,55.0,55.0,55.0,55.0,0
2008-05-15,55.0,55.0,55.0,55.0,0
2008-05-16,55.0,55.0,55.0,55.0,0
2008-05-19,55.0,55.0,55.0,55.0,0
2008-05-20,55.0,55.0,55.0,55.0,0
2008-05-22,55.0,55.0,55.0,55.0,0
2008-05-23,55.0,55.0,55.0,55.0,0
2008-05-27,55.0,55.0,55.0,55.0,0
2008-05-28,55.0,55.0,55.0,55.0,0
2008-05-30,55.0,55.0,55.0,55.0,0
2008-06-02,55.0,55.0,55.0,55.0,0
2008-06-03,55.0,55.0,55.0,55.0,0
2008-06-04,55.0,55.0,55.0,55.0,0
2008-06-05,55.0,55.0,55.0,55.0,0
2008-06-06,55.0,55.0,55.0,55.0,0
2008-06-09,55.0,55.0,55.0,55.0,0
2008-06-10,55.0,55.0,55.0,55.0,0
2008-06-11,55.0,55.0,55.0,55.0,0
2008-06-12,55.0,55.0,55.0,55.0,0
2008-06-16,55.0,55.0,55.0,55.0,0
2008-06-17,55.0,55.0,55.0,55.0,0
2008-06-18,55.0,55.0,55.0,55.0,0
2008-06-19,55.0,55.0,55.0,55.0,0
2008-06-20,55.0,55.0,55.0,55.0,0
2008-06-23,55.0,55.0,55.0,55.0,0
2008-06-24,55.0,55.0,55.0,55.0,0
2008-06-25,55.0,55.0,55.0,55.0,0
2008-06-26,55.0,55.0,55.0,55.0,0
2008-06-27,55.0,55.0,55.0,55.0,0
2008-06-30,55.0,55.0,55.0,55.0,0
2008-07-01,55.0,55.0,55.0,55.0,0
2008-07-02,55.0,55.0,55.0,55.0,0
2008-07-03,55.0,55.0,55.0,55.0,0
2008-07-07,55.0,55.0,55.0,55.0,0
2008-07-08,55.0,55.0,55.0,55.0,0
2008-07-09,55.0,55.0,55.0,55.0,0
2008-07-10,55.0,55.0,55.0,55.0,0
2008-07-11,55.0,55.0,55.0,55.0,0
2008-07-14,55.0,55.0,55.0,55.0,0
2008-07-15,55.0,55.0,55.0,55.0,0
2008-07-16,55.0,55.0,55.0,55.0,0
2008-07-17,55.0,55.0,55.0,55.0,0
2008-07-21,55.0,55.0,55.0,55.0,0
2008-07-22,55.0,55.0,55.0,55.0,0
2008-07-23,55.0,55.0,55.0,55.0,0
2008-07-24,55.0,55.0,55.0,55.0,0
2008-07-25,59.5,59.5,55.0,55.0,0
2008-07-28,59.5,59.5,59.5,59.5,0
2008-08-18,59.5,59.5,59.5,59.5,0
2008-08-19,59.5,59.5,59.5,59.5,0
2008-08-20,59.5,59.5,59.5,59.5,0
2008-08-21,59.5,59.5,59.5,59.5,0
2008-08-22,59.5,59.5,59.5,59.5,0
2008-08-25,59.5,59.5,59.5,59.5,0
2008-08-26,59.5,59.5,59.5,59.5,0
2008-08-27,59.5,59.5,59.5,59.5,0
2008-08-28,59.5,59.5,59.5,59.5,0
2008-08-29,59.5,59.5,59.5,59.5,0
2008-09-02,59.5,59.5,59.5,59.5,0
2008-09-03,59.5,59.5,59.5,59.5,0
2008-09-04,59.349998474121094,59.349998474121094,59.349998474121094,59.349998474121094,0
2008-09-05,59.5,59.5,59.5,59.5,0
2008-09-08,59.5,59.5,59.5,59.5,0
2008-09-09,59.5,59.5,59.5,59.5,0
2008-09-10,59.5,59.5,59.5,59.5,0
2008-09-11,59.5,59.5,59.5,59.5,0
2008-09-12,59.5,59.5,59.5,59.5,0
2008-09-15,59.5,59.5,59.5,59.5,0
2008-09-16,59.5,59.5,59.5,59.5,0
2008-09-17,59.5,59.5,59.5,59.5,0
2008-09-18,59.5,59.5,59.5,59.5,0
2008-09-19,59.5,59.5,59.5,59.5,0
2008-09-22,59.5,59.5,59.5,59.5,0
2008-09-23,59.5,59.5,59.5,59.5,0
2008-09-24,59.5,59.5,59.5,59.5,0
2008-09-25,59.5,59.5,59.5,59.5,0
2008-09-26,59.5,59.5,59.5,59.5,0
2008-09-29,59.5,59.5,59.5,59.5,0
2008-09-30,59.5,59.5,59.5,59.5,0
2008-10-01,59.5,59.5,59.5,59.5,0
2008-10-02,59.5,59.5,59.5,59.5,0
2008-10-03,59.0,59.0,59.0,59.0,0
2008-10-06,59.0,59.0,59.0,59.0,0
2008-10-07,59.0,59.0,59.0,59.0,0
2008-10-08,59.0,59.0,59.0,59.0,0
2008-10-09,59.0,59.0,59.0,59.0,0
2008-10-10,59.0,59.0,59.0,59.0,0
2008-10-13,59.0,59.0,59.0,59.0,0
2008-10-14,59.0,59.0,59.0,59.0,0
2008-10-15,59.0,59.0,59.0,59.0,0
2008-10-16,59.0,59.0,59.0,59.0,0
2008-10-17,59.0,59.0,59.0,59.0,0
2008-10-20,59.0,59.0,59.0,59.0,0
2008-10-21,59.0,59.0,59.0,59.0,0
2008-10-22,59.0,59.0,59.0,59.0,0
2008-10-23,59.0,59.0,59.0,59.0,0
2008-10-24,59.0,59.0,59.0,59.0,0
2008-10-27,59.0,59.0,59.0,59.0,0
2008-10-28,59.0,59.0,59.0,59.0,0
2008-10-29,59.0,59.0,59.0,59.0,0
2008-10-30,59.0,59.0,59.0,59.0,0
2008-10-31,59.0,59.0,59.0,59.0,0
2008-11-03,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0
2008-11-04,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0
2008-11-05,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0
2008-11-06,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0
2008-11-07,59.0099983215332,59.0099983215332,59.0,59.0099983215332,0
2008-11-10,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0
2008-11-11,59.0099983215332,59.0099983215332,59.0099983215332,59.0099983215332,0
2008-11-12,59.0,59.0,59.0,59.0,0
2008-11-13,59.0,59.0,59.0,59.0,0
2008-11-14,59.0,59.0,59.0,59.0,0
2008-11-17,59.0,59.0,59.0,59.0,0
2008-11-18,59.0,59.0,59.0,59.0,0
2008-11-19,59.0,59.0,59.0,59.0,0
2008-11-20,59.0,59.0,59.0,59.0,0
2008-11-21,59.0,59.0,59.0,59.0,0
2008-11-24,59.0,59.0,59.0,59.0,0
2008-11-25,59.0,59.0,59.0,59.0,0
2008-11-26,59.0,59.0,59.0,59.0,0
2008-11-28,59.0,59.0,59.0,59.0,0
2008-12-01,59.0,59.0,59.0,59.0,0
2008-12-03,59.0,59.0,59.0,59.0,0
2008-12-04,59.0,59.0,59.0,59.0,0
2008-12-05,59.0,59.0,59.0,59.0,0
2008-12-08,59.0,59.0,59.0,59.0,0
2008-12-09,59.0,59.0,59.0,59.0,0
2008-12-10,59.0,59.0,59.0,59.0,0
2008-12-11,59.0,59.0,59.0,59.0,0
2008-12-12,59.0,59.0,59.0,59.0,0
2008-12-15,59.0,59.0,59.0,59.0,0
2008-12-16,59.0,59.0,59.0,59.0,0
2008-12-17,59.0,59.0,59.0,59.0,0
2008-12-18,59.0,59.0,59.0,59.0,0
2008-12-19,59.0,59.0,59.0,59.0,0
2008-12-22,59.0,59.0,59.0,59.0,0
2008-12-23,59.0,59.0,59.0,59.0,0
2008-12-29,59.0,59.0,59.0,59.0,0
2008-12-30,59.0,59.0,59.0,59.0,0
2009-01-02,59.0,59.0,59.0,59.0,0
2009-01-05,59.0,59.0,59.0,59.0,0
2009-01-06,59.0,59.0,59.0,59.0,0
2009-01-07,59.0,59.0,59.0,59.0,0
2009-01-08,59.0,59.0,59.0,59.0,0
2009-01-09,59.0,59.0,59.0,59.0,0
2009-01-12,59.0,59.0,59.0,59.0,0
2009-01-13,59.0,59.0,59.0,59.0,0
2009-01-14,59.0,59.0,59.0,59.0,0
2009-01-15,59.0,59.0,59.0,59.0,0
2009-01-16,59.0,59.0,59.0,59.0,0
2009-01-20,59.0,59.0,59.0,59.0,0
2009-01-21,59.0,59.0,59.0,59.0,0
2009-01-22,59.0,59.0,59.0,59.0,0
2009-01-23,59.0,59.0,59.0,59.0,0
2009-01-26,59.0,59.0,59.0,59.0,0
2009-01-27,59.0,59.0,59.0,59.0,0
2009-01-28,59.0,59.0,59.0,59.0,0
2009-01-29,59.0,59.0,59.0,59.0,0
2009-01-30,59.0,59.0,59.0,59.0,0
2009-02-02,59.0,59.0,59.0,59.0,0
2009-02-03,59.0,59.0,59.0,59.0,0
2009-02-04,59.0,59.0,59.0,59.0,0
2009-02-05,59.0,59.0,59.0,59.0,0
2009-02-06,59.0,59.0,59.0,59.0,0
2009-02-09,59.0,59.0,59.0,59.0,0
2009-02-10,59.0,59.0,59.0,59.0,0
2009-02-11,59.0,59.0,59.0,59.0,0
2009-02-12,59.0,59.0,59.0,59.0,0
2009-02-13,59.0,59.0,59.0,59.0,0
2009-02-17,59.0,59.0,59.0,59.0,0
2009-02-18,59.0,59.0,59.0,59.0,0
2009-02-19,59.0,59.0,59.0,59.0,0
2009-02-27,59.0,59.0,59.0,59.0,50
