Price,Close,High,Low,Open,Volume
Ticker,AHT,AHT,AHT,AHT,AHT
Date,,,,,
2020-05-19,670.0,740.0,670.0,690.0,1262
2020-05-20,700.0,730.0,640.0,680.0,987
2020-05-21,680.0,700.0,640.0,700.0,1015
2020-05-22,650.0,670.0,620.0,660.0,1346
2020-05-26,710.0,730.0,670.0,690.0,1638
2020-05-27,820.0,840.0,740.0,800.0,1951
2020-05-28,830.0,890.0,830.0,890.0,1796
2020-05-29,690.0,830.0,690.0,780.0,3436
2020-06-01,690.0,740.0,690.0,730.0,1395
2020-06-02,700.0,720.0,680.0,700.0,1071
2020-06-03,780.0,800.0,710.0,720.0,2050
2020-06-04,900.0,930.0,800.0,800.0,2066
2020-06-05,1080.0,1250.0,1050.0,1050.0,2805
2020-06-08,1730.0,1880.0,1230.0,1230.0,4959
2020-06-09,1520.0,1800.0,1460.0,1640.0,2829
2020-06-10,1070.0,1520.0,1030.0,1510.0,4131
2020-06-11,900.0,1070.0,840.0,920.0,2465
2020-06-12,900.0,1070.0,900.0,1050.0,3103
2020-06-15,920.0,980.0,820.0,870.0,1649
2020-06-16,1000.0,1080.0,950.0,1080.0,1819
2020-06-17,910.0,1040.0,900.0,1020.0,1953
2020-06-18,890.0,960.0,880.0,900.0,1530
2020-06-19,840.0,940.0,790.0,920.0,8593
2020-06-22,780.0,870.0,770.0,840.0,1737
2020-06-23,720.0,830.0,720.0,820.0,2754
2020-06-24,700.0,770.0,670.0,770.0,2974
2020-06-25,680.0,700.0,660.0,690.0,4522
2020-06-26,690.0,700.0,650.0,670.0,12604
2020-06-29,860.0,920.0,700.0,700.0,5890
2020-06-30,720.0,840.0,720.0,830.0,3890
2020-07-01,760.0,810.0,730.0,730.0,3154
2020-07-02,700.0,770.0,690.0,750.0,2784
2020-07-06,690.0,760.0,660.0,700.0,2549
2020-07-07,650.0,720.0,630.0,720.0,2646
2020-07-08,640.0,670.0,640.0,650.0,1136
2020-07-09,620.0,680.0,600.0,680.0,1195
2020-07-10,630.0,640.0,600.0,620.0,1037
2020-07-13,610.0,660.0,590.0,660.0,1661
2020-07-14,550.0,600.0,550.0,600.0,1732
2020-07-15,610.0,710.0,560.0,600.0,3555
2020-07-16,557.0,610.0,539.0,610.0,2772
2020-07-17,693.0,851.0,575.0,621.0,26078
2020-07-20,606.0,692.0,600.0,653.0,4160
2020-07-21,484.0,521.0,471.0,473.0,24105
2020-07-22,475.0,494.0,462.0,490.0,6613
2020-07-23,441.0,485.0,426.0,485.0,13866
2020-07-24,418.0,431.0,380.0,431.0,10178
2020-07-27,412.0,420.0,401.0,420.0,5202
2020-07-28,429.0,457.0,401.0,418.0,9919
2020-07-29,433.0,455.0,423.0,439.0,5140
2020-07-30,404.0,425.0,391.0,399.0,6905
2020-07-31,392.0,410.0,382.0,406.0,5119
2020-08-03,375.0,395.0,368.0,389.0,4634
2020-08-04,401.0,420.0,355.0,361.0,6173
2020-08-05,406.0,423.0,391.0,407.0,3976
2020-08-06,395.0,417.0,392.0,394.0,3216
2020-08-07,390.0,399.0,381.0,391.0,3989
2020-08-10,397.0,411.0,392.0,397.0,4647
2020-08-11,388.0,418.0,386.0,418.0,7573
2020-08-12,378.0,398.0,365.0,391.0,5939
2020-08-13,366.0,384.0,362.0,371.0,4684
2020-08-14,360.0,371.0,351.0,358.0,4420
2020-08-17,346.0,364.0,346.0,363.0,7672
2020-08-18,335.0,354.0,334.0,344.0,6308
2020-08-19,337.0,342.0,317.0,333.0,7668
2020-08-20,341.0,349.0,330.0,333.0,5267
2020-08-21,308.0,340.0,307.0,333.0,8222
2020-08-24,312.0,323.0,301.0,311.0,6124
2020-08-25,291.0,314.0,286.0,313.0,7862
2020-08-26,270.0,293.0,262.0,292.0,7533
2020-08-27,278.0,294.0,270.0,271.0,3722
2020-08-28,313.0,315.0,274.0,284.0,6892
2020-08-31,308.0,322.0,300.0,313.0,2813
2020-09-01,296.0,314.0,290.0,314.0,3948
2020-09-02,300.0,304.0,281.0,301.0,4089
2020-09-03,291.0,315.0,289.0,299.0,3081
2020-09-04,292.0,301.0,283.0,292.0,2799
2020-09-08,293.0,301.0,277.0,291.0,3130
2020-09-09,249.0,257.0,232.0,240.0,10178
2020-09-10,224.0,249.0,222.0,246.0,10685
2020-09-11,198.0,225.0,193.0,225.0,10901
2020-09-14,187.0,201.0,178.0,190.0,9248
2020-09-15,216.0,224.0,189.0,189.0,11096
2020-09-16,207.0,218.0,197.0,215.0,5862
2020-09-17,199.0,212.0,198.0,206.0,9771
2020-09-18,203.0,215.0,198.0,208.0,22009
2020-09-21,186.0,200.0,182.0,200.0,4337
2020-09-22,171.0,187.0,170.0,184.0,6719
2020-09-23,148.0,172.0,135.0,172.0,11480
2020-09-24,143.0,155.0,140.0,146.0,6170
2020-09-25,155.0,156.0,135.0,148.0,10661
2020-09-28,194.0,288.0,168.0,179.0,128122
2020-09-29,171.0,183.0,159.0,183.0,14910
2020-09-30,165.0,171.0,162.0,166.0,6069
2020-10-01,165.0,177.0,160.0,170.0,5770
2020-10-02,177.0,187.0,158.0,187.0,29760
2020-10-05,166.0,178.0,159.0,174.0,8949
2020-10-06,160.0,164.0,159.0,164.0,5887
2020-10-07,147.0,152.0,132.0,139.0,22228
2020-10-08,148.0,153.0,146.0,150.0,5825
2020-10-09,156.0,157.0,145.0,148.0,8679
2020-10-12,151.0,165.0,149.0,165.0,3931
2020-10-13,140.0,152.0,139.0,151.0,5027
2020-10-14,140.0,162.0,139.0,142.0,29034
2020-10-15,137.0,143.0,131.0,137.0,8445
2020-10-16,135.0,142.0,134.0,142.0,4261
2020-10-19,133.0,140.0,132.0,136.0,11195
2020-10-20,145.0,150.0,133.0,133.0,18720
2020-10-21,163.0,165.0,143.0,146.0,25159
2020-10-22,171.0,230.0,162.0,164.0,89148
2020-10-23,176.0,193.0,172.0,179.0,18646
2020-10-26,155.0,183.0,155.0,181.0,8747
2020-10-27,147.0,161.0,145.0,159.0,14816
2020-10-28,139.0,150.0,134.0,147.0,12374
2020-10-29,136.0,144.0,134.0,136.0,10786
2020-10-30,129.0,140.0,127.0,137.0,10425
2020-11-02,143.0,147.0,130.0,130.0,8318
2020-11-03,154.0,159.0,140.0,140.0,9433
2020-11-04,147.0,153.0,146.0,153.0,2696
2020-11-05,144.0,148.0,130.0,143.0,4710
2020-11-06,144.0,148.0,144.0,148.0,1904
2020-11-09,473.0,535.0,177.0,180.0,949734
2020-11-10,408.0,465.0,345.0,435.0,119386
2020-11-11,303.0,386.0,300.0,382.0,36395
2020-11-12,254.0,316.0,250.0,289.0,30909
2020-11-13,330.0,366.0,260.0,265.0,121925
2020-11-16,402.0,449.0,361.0,410.0,149779
2020-11-17,445.0,449.0,367.0,381.0,50693
2020-11-18,463.0,582.0,456.0,564.0,237671
2020-11-19,425.0,479.0,416.0,452.0,32481
2020-11-20,400.0,469.0,391.0,446.0,22018
2020-11-23,366.0,369.0,311.0,311.0,86002
2020-11-24,375.0,501.0,369.0,390.0,84722
2020-11-25,298.0,395.0,278.0,373.0,119526
2020-11-27,283.0,300.0,281.0,298.0,47531
2020-11-30,265.0,307.0,265.0,306.0,72955
2020-12-01,211.0,284.0,211.0,274.0,111581
2020-12-02,231.0,257.0,220.0,245.0,126445
2020-12-03,262.0,284.0,231.0,231.0,125175
2020-12-04,273.0,285.0,253.0,280.0,83296
2020-12-07,273.0,273.0,252.0,263.0,42206
2020-12-08,314.0,336.0,274.0,274.0,132162
2020-12-09,358.0,386.0,341.0,350.0,147963
2020-12-10,398.0,405.0,350.0,352.0,120580
2020-12-11,388.0,430.0,370.0,430.0,127412
2020-12-14,370.0,418.0,367.0,414.0,82795
2020-12-15,370.0,371.0,326.0,361.0,75268
2020-12-16,380.0,384.0,353.0,355.0,42489
2020-12-17,377.0,387.0,361.0,372.0,32793
2020-12-18,374.0,378.0,361.0,375.0,60969
2020-12-21,351.0,365.0,338.0,348.0,51774
2020-12-22,244.0,345.0,211.0,331.0,245756
2020-12-23,258.0,272.0,227.0,236.0,107946
2020-12-24,236.0,260.0,228.0,255.0,58978
2020-12-28,296.0,317.0,270.0,272.0,185096
2020-12-29,276.0,302.0,265.0,300.0,63749
2020-12-30,260.0,276.0,255.0,270.0,44338
2020-12-31,259.0,265.0,245.0,260.0,67630
2021-01-04,237.0,267.0,232.0,266.0,61425
2021-01-05,241.0,247.0,232.0,240.0,44301
2021-01-06,243.0,257.0,235.0,239.0,53373
2021-01-07,240.0,248.0,233.0,247.0,42770
2021-01-08,237.0,245.0,232.0,243.0,49634
2021-01-11,226.0,230.0,218.0,229.0,52484
2021-01-12,236.0,246.0,225.0,227.0,55681
2021-01-13,249.0,255.0,237.0,240.0,49094
2021-01-14,277.0,305.0,254.0,257.0,146649
2021-01-15,273.0,285.0,251.0,284.0,81201
2021-01-19,283.0,291.0,274.0,290.0,56952
2021-01-20,272.0,286.0,267.0,286.0,36644
2021-01-21,264.0,276.0,259.0,275.0,47221
2021-01-22,267.0,271.0,257.0,265.0,34698
2021-01-25,292.0,300.0,261.0,271.0,115031
2021-01-26,323.0,336.0,298.0,310.0,144463
2021-01-27,349.0,378.0,317.0,344.0,161793
