Price,Close,High,Low,Open,Volume
Ticker,CLH,CLH,CLH,CLH,CLH
Date,,,,,
1999-06-10,0.8125,0.84375,0.8125,0.828125,4400
1999-06-11,0.8125,0.8125,0.8125,0.8125,0
1999-06-14,0.84375,0.84375,0.8125,0.8125,14200
1999-06-15,0.796875,0.796875,0.796875,0.796875,2400
1999-06-16,0.875,0.875,0.8125,0.8125,13000
1999-06-17,0.8125,0.8125,0.796875,0.796875,4600
1999-06-18,0.875,0.875,0.78125,0.8359379768371582,6200
1999-06-21,0.8125,0.875,0.796875,0.8125,10000
1999-06-22,0.796875,0.8125,0.796875,0.8125,6800
1999-06-23,0.8125,0.8125,0.796875,0.796875,53400
1999-06-24,0.796875,0.828125,0.796875,0.828125,6400
1999-06-25,0.84375,0.84375,0.84375,0.84375,1200
1999-06-28,0.8359379768371582,0.8359379768371582,0.8359379768371582,0.8359379768371582,1800
1999-06-29,0.90625,0.9375,0.84375,0.875,43400
1999-06-30,0.90625,0.90625,0.8125,0.8125,11800
1999-07-01,0.90625,0.90625,0.90625,0.90625,0
1999-07-02,0.90625,0.90625,0.90625,0.90625,2000
1999-07-06,0.84375,0.875,0.84375,0.875,8200
1999-07-07,0.875,0.875,0.8125,0.8125,2400
1999-07-08,0.8125,0.84375,0.8125,0.84375,2000
1999-07-09,0.8125,0.8671879768371582,0.8125,0.8671879768371582,4200
1999-07-12,0.8125,0.8125,0.8125,0.8125,9000
1999-07-13,0.8125,0.8125,0.8125,0.8125,5200
1999-07-14,0.84375,0.84375,0.8125,0.8125,30600
1999-07-15,0.875,0.875,0.8125,0.8125,25600
1999-07-16,0.875,0.875,0.875,0.875,0
1999-07-19,0.84375,0.84375,0.8125,0.8125,1400
1999-07-20,0.78125,0.875,0.78125,0.84375,28800
1999-07-21,0.765625,0.84375,0.765625,0.78125,27200
1999-07-22,0.765625,0.8125,0.765625,0.765625,29400
1999-07-23,0.75,0.765625,0.75,0.765625,30800
