Price,Close,High,Low,Open,Volume
Ticker,CWST,CWST,CWST,CWST,CWST
Date,,,,,
2000-01-12,17.8125,18.125,17.75,17.75,26000
2000-01-13,17.9375,18.0625,17.8125,17.90625,92900
2000-01-14,17.9375,18.0,17.9375,17.9375,61200
2000-01-18,17.75,18.0,17.5625,17.90625,117100
2000-01-19,17.625,17.8125,17.5625,17.8125,21900
2000-01-20,17.875,17.9375,17.5,17.625,75500
2000-01-21,17.625,17.875,17.5625,17.75,192400
2000-01-24,16.8125,17.6875,16.75,17.625,357500
2000-01-25,15.8125,16.625,15.625,16.5,109000
2000-01-26,15.5625,15.9375,15.125,15.625,116300
2000-01-27,15.5,15.75,15.0,15.1875,91500
2000-01-28,15.3125,15.75,15.3125,15.6875,76600
2000-01-31,15.0625,15.5,14.75,15.5,338600
2000-02-01,14.625,15.125,14.25,15.0625,54100
2000-02-02,14.6875,15.25,14.375,14.6875,66900
2000-02-03,14.9375,15.25,14.6875,14.96875,89500
2000-02-04,15.125,15.125,14.875,15.0625,74500
2000-02-07,15.25,15.34375,15.0,15.125,84900
2000-02-08,15.3125,15.4375,15.0,15.28125,75200
2000-02-09,14.8125,15.25,14.75,15.0,35100
2000-02-10,14.75,14.84375,13.875,14.8125,67600
2000-02-11,14.3125,14.6875,14.25,14.625,34400
2000-02-14,14.5,14.5,14.21875,14.25,42400
2000-02-15,14.375,14.4375,13.75,14.4375,38300
2000-02-16,13.9375,14.375,13.875,14.125,128500
2000-02-17,14.3125,14.375,13.875,14.1875,40100
2000-02-18,13.875,14.375,13.875,14.125,17000
2000-02-22,14.1875,14.375,13.75,13.78125,30200
2000-02-23,14.0,14.3125,13.5625,14.0,47200
2000-02-24,13.9375,14.3125,13.6875,14.3125,96700
2000-02-25,7.375,12.5,6.78125,12.25,2968300
2000-02-28,7.25,7.75,6.9375,7.625,1308500
2000-02-29,6.84375,7.375,6.5,7.25,746500
2000-03-01,6.6875,6.875,6.375,6.859375,391400
2000-03-02,7.0,7.125,6.625,7.0,512700
2000-03-03,7.4375,7.5625,7.25,7.25,541000
2000-03-06,7.59375,8.25,7.375,7.5625,339900
2000-03-07,7.375,8.0,7.375,7.8125,189000
2000-03-08,7.75,8.0,7.375,7.390625,183700
2000-03-09,7.34375,7.875,7.3125,7.8125,159700
2000-03-10,7.25,7.6875,7.25,7.625,162000
2000-03-13,7.375,7.71875,7.21875,7.25,161200
2000-03-14,7.09375,7.5,7.0,7.375,152500
2000-03-15,6.96875,7.375,6.875,7.125,137500
2000-03-16,7.375,7.5,6.875,7.09375,416700
2000-03-17,7.6875,7.75,7.3125,7.375,270600
2000-03-20,7.875,8.0625,7.625,7.75,219800
2000-03-21,7.75,8.4375,7.75,7.875,89500
2000-03-22,7.75,7.9375,7.46875,7.625,58900
2000-03-23,7.75,7.765625,7.25,7.765625,109600
2000-03-24,7.71875,8.25,7.5,7.75,189300
2000-03-27,7.5625,7.75,7.5,7.703125,85500
2000-03-28,7.875,8.0,7.375,7.625,235700
2000-03-29,7.5,7.875,7.375,7.875,99700
2000-03-30,7.5,7.6875,7.375,7.625,117800
2000-03-31,7.5,7.5,7.0,7.5,196300
2000-04-03,7.375,7.5625,7.25,7.25,188200
2000-04-04,7.25,7.5,7.125,7.5,146000
2000-04-05,7.3125,7.75,7.0,7.25,244400
2000-04-06,7.125,7.375,7.0,7.375,53500
2000-04-07,7.25,7.4375,7.0625,7.28125,261700
2000-04-10,7.125,7.3125,7.0,7.3125,107900
2000-04-11,6.8125,7.125,6.5,7.125,190400
2000-04-12,6.625,6.84375,6.5625,6.84375,146600
2000-04-13,6.25,6.625,6.1875,6.25,197900
2000-04-14,5.71875,6.25,5.5625,6.25,106400
2000-04-17,5.9375,6.0625,5.6875,5.875,353700
2000-04-18,6.0,6.0625,5.75,5.875,140000
2000-04-19,6.3125,6.5,5.875,6.0,351300
2000-04-20,6.1875,6.34375,6.0625,6.34375,75700
2000-04-24,6.0625,6.125,5.875,6.0625,259600
2000-04-25,6.1875,6.1875,6.0,6.0625,251000
2000-04-26,6.375,6.6875,6.0625,6.1875,465400
2000-04-27,6.6875,6.75,6.125,6.3125,371300
2000-04-28,7.4375,7.5,6.5625,6.75,380900
2000-05-01,9.125,9.375,7.4375,7.5,1199000
2000-05-02,8.5,9.3125,8.375,9.1875,702100
2000-05-03,8.375,8.625,8.25,8.5625,132900
2000-05-04,8.5,8.625,8.1875,8.5625,674100
2000-05-05,8.75,9.0,8.25,8.5,425200
2000-05-08,8.625,8.75,8.5625,8.75,168300
2000-05-09,9.0625,9.125,8.625,8.625,499400
2000-05-10,8.6875,8.96875,8.375,8.96875,52800
2000-05-11,10.25,10.375,8.625,8.6875,843700
2000-05-12,9.9375,10.5,9.875,10.375,107200
2000-05-15,10.625,10.6875,9.9375,9.9375,377900
2000-05-16,12.0,12.0625,10.6875,10.75,439000
2000-05-17,12.0,12.09375,11.5,12.0625,362100
2000-05-18,12.0625,12.125,11.8125,12.0,413000
2000-05-19,12.0,12.0,11.25,11.75,146900
2000-05-22,12.375,12.375,11.75,12.0,231300
2000-05-23,12.6875,12.9375,12.1875,12.28125,153400
