Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
1999-06-22,179.3453369140625,183.70779105521538,178.61826122387038,180.55712973104943,736787
1999-06-23,177.1641387939453,180.31480063296212,172.55932533692075,179.58772482395824,981453
1999-06-24,169.89341735839844,174.25587315362122,168.4392654266575,173.04407987717045,1113253
1999-06-25,169.89341735839844,173.52879718775077,169.65105870310828,170.6204933242689,775667
1999-06-28,178.37599182128906,179.587785243988,171.58994865417478,173.04410076141355,1130747
1999-06-29,178.6182861328125,181.28423070195896,176.19470016086117,177.89121034122712,1008853
1999-06-30,184.19253540039062,190.0091417814556,174.74055003116007,179.8300806145919,2107573
1999-07-01,188.07034301757812,189.52449515431198,181.28429971282014,184.4349626757435,1218227
1999-07-02,189.76683044433594,191.94805838047773,187.34324384862285,188.0703198273368,791227
1999-07-06,189.5244903564453,192.917511922929,186.13146878996164,186.37382747328192,1280973
1999-07-07,189.03977966308594,189.03977966308597,184.91968190119817,188.79742097121022,1010680
1999-07-08,187.100830078125,191.22092607725472,185.88903713720453,188.55498160722962,1137560
1999-07-09,189.76683044433594,190.9786237421925,188.0703198273368,188.5550371464794,856680
1999-07-12,189.03977966308594,192.19044265747073,188.55506227933446,190.97864919809197,875560
1999-07-13,184.919677734375,185.64675379361893,181.52665612456994,184.19260167513104,1018227
1999-07-14,183.9502716064453,187.34329374411362,182.98083670996866,187.10093501999444,636707
1999-07-15,186.1315155029297,189.03982043266296,185.6467980146408,186.858591735363,950667
1999-07-16,190.00918579101562,190.00918579101562,183.70786075202787,186.61616461617606,900627
1999-07-19,190.73634338378906,197.52238863759604,189.52454958846639,193.64464849256348,1983253
1999-07-20,188.55502319335938,192.91747874282012,188.07030591008595,190.49389232645305,1368760
1999-07-21,184.43490600585938,192.67509891545097,182.49603708595546,191.948023070487,1119853
1999-07-22,185.646728515625,189.2821083168448,182.9807833280638,185.40436986221036,1169680
1999-07-23,183.70794677734375,186.85861077220585,177.89133632529067,186.13153446569922,1110293
1999-07-26,182.73838806152344,184.19253969066025,180.31480201296213,183.2231052712357,992040
1999-07-27,183.22320556640625,187.10094536675345,182.98084682888452,185.88915167914496,1008187
1999-07-28,184.43490600585938,186.61613354075126,180.79952678103953,181.28424401101552,846827
1999-07-29,177.93019104003906,181.576301512171,176.9578949141372,179.14556119741638,1146200
1999-07-30,173.31187438964844,179.87487664563793,173.0688002320192,178.4164316998625,1242800
1999-08-02,171.61033630371094,178.41641196448137,171.12418804222736,174.77030000335435,1262547
1999-08-03,171.61033630371094,174.77030000335435,171.36726217296916,174.77030000335435,912427
1999-08-04,170.881103515625,175.49951171874997,169.9088070518092,172.0964740953947,892373
1999-08-05,171.12417602539062,174.0410653894598,164.56117495623502,171.6103242527355,1248453
1999-08-06,165.29049682617188,170.15198202694162,163.34590274586398,169.42275924682616,1114907
