Price,Close,High,Low,Open,Volume
Ticker,DJCO,DJCO,DJCO,DJCO,DJCO
Date,,,,,
2008-02-22,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-02-25,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-02-26,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-02-27,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-02-28,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-02-29,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-03-03,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2008-03-04,41.5099983215332,41.5099983215332,41.5099983215332,41.5099983215332,100
2008-03-05,42.0,42.0099983215332,42.0,42.0099983215332,300
2008-03-06,45.0,45.0,45.0,45.0,200
2008-03-07,45.0,45.0,45.0,45.0,0
2008-03-10,45.0,45.0,45.0,45.0,0
2008-03-11,45.0,45.0,45.0,45.0,0
2008-03-12,45.0,45.0,45.0,45.0,0
2008-03-13,45.0,45.0,45.0,45.0,0
2008-03-14,45.0,45.0,45.0,45.0,0
2008-03-17,45.0,45.0,45.0,45.0,0
2008-03-18,45.0,45.0,45.0,45.0,0
2008-03-19,41.5099983215332,42.0,41.5099983215332,42.0,400
2008-03-20,41.5099983215332,41.5099983215332,41.5099983215332,41.5099983215332,0
2008-03-24,41.5099983215332,41.5099983215332,41.5099983215332,41.5099983215332,0
2008-03-25,41.5099983215332,41.5099983215332,41.5099983215332,41.5099983215332,0
2008-03-26,41.5099983215332,41.5099983215332,41.5099983215332,41.5099983215332,0
2008-03-27,42.0,42.0,42.0,42.0,100
2008-03-28,42.0,42.0,42.0,42.0,0
2008-03-31,42.0,42.0,42.0,42.0,0
2008-04-01,42.0,42.0,42.0,42.0,0
2008-04-02,42.0,42.0,42.0,42.0,0
2008-04-03,33.040000915527344,41.0,33.040000915527344,41.0,400
2008-04-04,50.0,50.0,50.0,50.0,2500
2008-04-07,48.0,48.0,48.0,48.0,1000
2008-04-08,48.0,48.0,48.0,48.0,0
2008-04-09,48.0,48.0,48.0,48.0,0
2008-04-10,48.0,48.0,48.0,48.0,0
2008-04-11,48.0,48.0,48.0,48.0,0
2008-04-14,48.0,48.0,48.0,48.0,0
2008-04-15,48.0,48.0,48.0,48.0,0
2008-04-16,48.0,48.0,48.0,48.0,0
2008-04-17,41.61000061035156,42.0,41.61000061035156,42.0,600
2008-04-18,41.61000061035156,41.61000061035156,41.61000061035156,41.61000061035156,0
2008-04-21,41.61000061035156,41.61000061035156,41.61000061035156,41.61000061035156,0
2008-04-22,41.61000061035156,41.61000061035156,41.61000061035156,41.61000061035156,0
2008-04-23,41.61000061035156,41.61000061035156,41.599998474121094,41.599998474121094,300
2008-04-24,41.61000061035156,41.61000061035156,41.61000061035156,41.61000061035156,0
2008-04-25,41.61000061035156,41.61000061035156,41.61000061035156,41.61000061035156,0
2008-04-28,41.0,41.0,39.0,39.0,3100
2008-04-29,41.0,41.0,41.0,41.0,0
