Price,Close,High,Low,Open,Volume
Ticker,HBNC,HBNC,HBNC,HBNC,HBNC
Date,,,,,
2012-06-27,5.063895225524902,5.063895225524902,4.870764326701557,5.02140647751347,51300
2012-06-28,5.11604118347168,5.117972561077567,5.060033097765071,5.060033097765071,156938
2012-06-29,5.079346179962158,5.137285017283912,4.976986904297646,5.069689603471645,153563
2012-07-02,5.117973327636719,5.214538803476896,5.052308654876247,5.079347323787087,70875
2012-07-03,5.117973327636719,5.117973327636719,5.031064741272366,5.117973327636719,35100
2012-07-05,5.11604118347168,5.117972561077567,5.004025012058464,5.0117505224820125,11138
2012-07-06,5.075483798980713,5.117972552182955,4.8340696797422265,5.083209309390835,112050
2012-07-09,4.99243688583374,5.087070966355687,4.948017067287474,4.9789181754887135,38813
2012-07-10,5.087069511413574,5.094795019362335,4.996298211932096,5.038786951597344,48600
2012-07-11,4.944154739379883,5.050376783506139,4.859177228403158,5.0214073611522165,38475
2012-07-12,4.888145923614502,4.924841162146275,4.847588551865754,4.847588551865754,33750
2012-07-13,4.973124027252197,4.980848604471457,4.837931959704922,4.907459370891366,44550
2012-07-16,4.851449012756348,4.9634651203734075,4.807028907172809,4.9634651203734075,15863
2012-07-17,4.876558303833008,4.905528345482586,4.843726128701995,4.905528345482586,37463
2012-07-18,4.876558303833008,4.876558303833008,4.751023425152464,4.828275419101509,44888
2012-07-19,5.274406909942627,5.43663697416124,4.953809224475995,4.953809224475995,99225
2012-07-20,5.060032844543457,5.274408599423033,4.95767356628209,5.274408599423033,50963
2012-07-23,4.936427116394043,5.065825326821084,4.936427116394043,5.050374622591122,22275
2012-07-24,4.901664733886719,4.9731235151272495,4.895870602244971,4.920978195215255,15863
2012-07-25,5.007885932922363,5.031062144893065,4.94028991715099,4.94028991715099,32063
2012-07-26,5.048445224761963,5.054239357673531,4.994368515784806,4.994368515784806,36113
2012-07-27,5.1083149909973145,5.112177745458317,5.034924831912655,5.036856209143156,48263
2012-07-30,5.1353535652160645,5.168185423535548,5.1083149060598805,5.117971481241197,8100
2012-07-31,5.21067476272583,5.212606140144714,5.135354151495916,5.135354151495916,34763
2012-08-01,5.191361427307129,5.224194220650402,5.183636539524993,5.214537333896118,44550
2012-08-02,5.202949047088623,5.228056640229699,5.1932924717639795,5.195223538180407,45225
2012-08-03,5.214538097381592,5.226126363183425,5.175912098762268,5.21840085264887,21938
2012-08-06,5.243505954742432,5.31110166527352,5.214536542120879,5.2299869369604535,36450
2012-08-07,5.297581195831299,5.305306701944716,5.218397866273899,5.239642386464772,63788
2012-08-08,5.251231670379639,5.311101875045021,5.202948796085701,5.307239742398483,44213
2012-08-09,5.274406909942627,5.30917045073082,5.253162385767366,5.291788680336723,17213
2012-08-10,5.285995960235596,5.287927337641567,5.237713389950243,5.2628200529852505,3713
2012-08-13,5.262818336486816,5.299513251989393,5.21839853550118,5.278269350695148,12825
2012-08-14,5.235780239105225,5.303375938933279,5.23384886235344,5.287925546540103,7763
2012-08-15,5.262818336486816,5.272475220367024,5.21839853550118,5.23964305841653,23625
2012-08-16,5.231919288635254,5.255094574401178,5.199086804971779,5.218400268334913,32400
2012-08-17,5.206812381744385,5.233850733504181,5.031063561521701,5.228057222798692,76613
2012-08-20,5.193293571472168,5.231919880950076,5.119904018599111,5.204881526477679,21263
2012-08-21,5.208742618560791,5.208742618560791,5.0812767006484005,5.204880175102246,65475
2012-08-22,5.214538097381592,5.243507518643412,5.0986594799022384,5.17204934349499,70538
2012-08-23,5.235780239105225,5.247367877994831,5.1276268707318975,5.247367877994831,73575
2012-08-24,5.206812381744385,5.233850733504181,5.141147413571175,5.1990868719753065,16538
2012-08-27,5.20488166809082,5.20488166809082,5.127629357843834,5.187500201325681,11138
