Price,Close,High,Low,Open,Volume
Ticker,HSKCF,HSKCF,HSKCF,HSKCF,HSKCF
Date,,,,,
2016-01-04,36203.8515625,36203.8515625,36203.8515625,36203.8515625,40
2016-01-05,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-06,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-07,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-08,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-11,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-12,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-13,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-14,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-15,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-19,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-20,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-21,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-22,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-25,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-26,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-27,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-28,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-01-29,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-01,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-02,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-03,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-04,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-05,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-08,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-09,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-10,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-11,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-12,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-16,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-17,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-18,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-19,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-22,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-23,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-24,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-25,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-26,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-02-29,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-01,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-02,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-03,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-04,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-07,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-08,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-09,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-10,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-11,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-14,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-15,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-16,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-17,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-18,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-21,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-22,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-23,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-24,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-28,36203.8515625,36203.8515625,36203.8515625,36203.8515625,0
2016-03-29,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-03-30,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-03-31,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-01,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-04,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-05,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-06,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-07,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-08,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-11,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-12,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-13,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-14,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-15,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-18,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-19,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-20,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-21,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-22,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-25,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-26,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-27,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-28,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-04-29,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-02,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-03,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-04,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-05,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-06,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-09,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-10,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-11,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-12,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-13,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-16,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-17,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-18,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-19,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-20,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-23,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-24,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-25,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-26,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-27,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-05-31,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-01,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-02,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-03,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-06,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-07,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-08,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-09,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-10,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-13,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-14,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-15,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
2016-06-16,-99560.6015625,-99560.60156249999,-99560.60156249999,-99560.60156249999,0
