Price,Close,High,Low,Open,Volume
Ticker,LEE,LEE,LEE,LEE,LEE
Date,,,,,
2010-12-13,23.899999618530273,24.200000762939453,23.600000381469727,23.700000762939453,57840
2010-12-14,24.200000762939453,24.799999237060547,24.0,24.0,24210
2010-12-15,24.100000381469727,24.799999237060547,24.100000381469727,24.200000762939453,14280
2010-12-16,24.600000381469727,24.899999618530273,24.100000381469727,24.200000762939453,21900
2010-12-17,24.799999237060547,25.0,24.200000762939453,25.0,42140
2010-12-20,24.299999237060547,25.0,24.100000381469727,24.899999618530273,26480
2010-12-21,24.5,24.5,24.100000381469727,24.5,21730
2010-12-22,24.399999618530273,24.899999618530273,24.0,24.899999618530273,16620
2010-12-23,24.899999618530273,25.0,24.100000381469727,24.100000381469727,16170
2010-12-27,24.5,24.899999618530273,24.200000762939453,24.899999618530273,8680
2010-12-28,24.200000762939453,24.5,24.100000381469727,24.299999237060547,22610
2010-12-29,24.299999237060547,24.399999618530273,24.200000762939453,24.299999237060547,6660
2010-12-30,24.100000381469727,24.399999618530273,23.799999237060547,24.299999237060547,43760
2010-12-31,24.600000381469727,24.899999618530273,23.899999618530273,23.899999618530273,25340
2011-01-03,24.600000381469727,24.899999618530273,24.5,24.799999237060547,22160
2011-01-04,24.5,24.700000762939453,24.100000381469727,24.600000381469727,17860
2011-01-05,24.899999618530273,24.899999618530273,24.100000381469727,24.5,12790
2011-01-06,25.0,25.0,24.200000762939453,24.5,19620
2011-01-07,24.5,25.0,24.200000762939453,25.0,12160
2011-01-10,24.0,24.399999618530273,24.0,24.399999618530273,74950
2011-01-11,23.899999618530273,24.5,23.799999237060547,24.100000381469727,11380
2011-01-12,24.5,24.700000762939453,24.0,24.200000762939453,17050
2011-01-13,27.700000762939453,27.799999237060547,24.299999237060547,24.399999618530273,95130
2011-01-14,28.799999237060547,28.899999618530273,26.899999618530273,27.600000381469727,65960
2011-01-18,33.70000076293945,34.099998474121094,28.0,28.600000381469727,151700
2011-01-19,30.0,33.20000076293945,29.100000381469727,32.5,80170
2011-01-20,28.5,29.600000381469727,27.5,29.600000381469727,71200
2011-01-21,30.0,30.399999618530273,28.899999618530273,28.899999618530273,41040
2011-01-24,30.700000762939453,31.0,30.0,30.0,20680
2011-01-25,30.0,30.799999237060547,28.5,30.5,51410
2011-01-26,30.899999618530273,31.0,29.700000762939453,30.0,26880
2011-01-27,31.799999237060547,32.099998474121094,30.799999237060547,30.799999237060547,20250
2011-01-28,29.799999237060547,31.899999618530273,29.799999237060547,31.899999618530273,36720
2011-01-31,28.799999237060547,30.299999237060547,28.0,29.700000762939453,46650
2011-02-01,28.700000762939453,28.799999237060547,28.100000381469727,28.5,21220
2011-02-02,29.100000381469727,30.0,28.5,28.5,52260
2011-02-03,29.0,29.5,28.5,29.0,17350
2011-02-04,28.200000762939453,29.0,27.700000762939453,28.799999237060547,33660
2011-02-07,29.200000762939453,30.0,28.299999237060547,28.299999237060547,63760
2011-02-08,29.200000762939453,29.200000762939453,28.200000762939453,29.200000762939453,28350
2011-02-09,29.200000762939453,29.299999237060547,28.399999618530273,29.200000762939453,23620
2011-02-10,29.200000762939453,29.299999237060547,28.700000762939453,29.100000381469727,13890
2011-02-11,30.899999618530273,30.899999618530273,29.0,29.799999237060547,46970
2011-02-14,30.299999237060547,31.799999237060547,30.100000381469727,31.299999237060547,34490
2011-02-15,30.100000381469727,30.600000381469727,29.100000381469727,30.299999237060547,26380
2011-02-16,30.799999237060547,30.799999237060547,30.0,30.399999618530273,10270
2011-02-17,30.399999618530273,30.799999237060547,29.600000381469727,30.700000762939453,16760
2011-02-18,30.200000762939453,30.600000381469727,30.0,30.600000381469727,14820
2011-02-22,29.700000762939453,30.0,29.700000762939453,30.0,20010
2011-02-23,28.600000381469727,30.0,28.5,29.899999618530273,19920
2011-02-24,29.200000762939453,29.299999237060547,28.0,28.5,25580
2011-02-25,29.700000762939453,29.899999618530273,29.200000762939453,29.299999237060547,11310
2011-02-28,29.700000762939453,30.100000381469727,29.5,29.899999618530273,25350
2011-03-01,29.700000762939453,29.899999618530273,29.299999237060547,29.899999618530273,18360
2011-03-02,29.899999618530273,30.299999237060547,29.5,29.700000762939453,20470
2011-03-03,30.0,30.5,29.899999618530273,30.299999237060547,11030
2011-03-04,30.0,30.399999618530273,29.700000762939453,30.0,23110
2011-03-07,29.700000762939453,30.100000381469727,29.299999237060547,29.600000381469727,23290
2011-03-08,30.0,30.100000381469727,29.299999237060547,29.600000381469727,15620
2011-03-09,29.799999237060547,30.100000381469727,29.5,30.0,16910
2011-03-10,27.399999618530273,29.799999237060547,27.399999618530273,29.299999237060547,37080
2011-03-11,26.799999237060547,27.700000762939453,25.700000762939453,27.5,30010
2011-03-14,25.700000762939453,26.799999237060547,24.399999618530273,26.0,26670
2011-03-15,24.799999237060547,25.200000762939453,24.5,24.5,17270
2011-03-16,23.600000381469727,24.799999237060547,23.299999237060547,24.799999237060547,28410
2011-03-17,22.600000381469727,24.0,22.399999618530273,24.0,26260
2011-03-18,23.700000762939453,23.799999237060547,23.0,23.0,51110
2011-03-21,25.399999618530273,25.399999618530273,24.0,24.0,17310
2011-03-22,25.200000762939453,25.5,24.899999618530273,25.5,14500
2011-03-23,25.600000381469727,26.0,25.0,25.299999237060547,12980
2011-03-24,26.100000381469727,26.299999237060547,25.5,25.899999618530273,14040
2011-03-25,26.299999237060547,26.899999618530273,25.700000762939453,26.399999618530273,13540
2011-03-28,26.700000762939453,27.0,26.100000381469727,26.200000762939453,10750
2011-03-29,27.0,27.100000381469727,26.600000381469727,26.600000381469727,14610
2011-03-30,27.299999237060547,27.600000381469727,27.0,27.399999618530273,15130
2011-03-31,27.0,27.600000381469727,26.5,27.299999237060547,20660
2011-04-01,26.700000762939453,27.200000762939453,26.200000762939453,27.200000762939453,10030
2011-04-04,27.399999618530273,27.700000762939453,26.299999237060547,26.700000762939453,7210
2011-04-05,27.700000762939453,27.799999237060547,27.299999237060547,27.299999237060547,11320
2011-04-06,29.100000381469727,29.299999237060547,27.5,27.700000762939453,25480
2011-04-07,29.299999237060547,29.5,28.799999237060547,29.200000762939453,8530
2011-04-08,29.700000762939453,29.700000762939453,28.700000762939453,29.600000381469727,24180
2011-04-11,31.200000762939453,34.70000076293945,30.100000381469727,30.100000381469727,95290
2011-04-12,30.200000762939453,30.899999618530273,29.700000762939453,30.799999237060547,50570
2011-04-13,28.700000762939453,30.600000381469727,28.200000762939453,30.100000381469727,118530
2011-04-14,26.5,28.700000762939453,26.5,28.5,34630
2011-04-15,25.600000381469727,26.600000381469727,25.600000381469727,26.399999618530273,35750
2011-04-18,25.299999237060547,25.799999237060547,25.100000381469727,25.299999237060547,25080
2011-04-19,24.100000381469727,26.799999237060547,24.0,25.299999237060547,64720
2011-04-20,20.899999618530273,24.600000381469727,20.0,24.600000381469727,346740
2011-04-21,20.0,21.399999618530273,19.799999237060547,21.200000762939453,249200
2011-04-25,19.5,20.5,19.399999618530273,20.100000381469727,83940
2011-04-26,19.200000762939453,19.600000381469727,18.799999237060547,19.5,65000
2011-04-27,16.0,19.200000762939453,15.699999809265137,19.200000762939453,198750
2011-04-28,14.899999618530273,15.899999618530273,14.0,15.899999618530273,126010
2011-04-29,14.300000190734863,14.899999618530273,14.100000381469727,14.800000190734863,98900
2011-05-02,12.899999618530273,14.300000190734863,12.5,14.199999809265137,120240
2011-05-03,11.300000190734863,14.300000190734863,11.0,14.199999809265137,914690
