Price,Close,High,Low,Open,Volume
Ticker,MCP,MCP,MCP,MCP,MCP
Date,,,,,
2014-06-25,18055.599609375,18055.599609375,18055.599609375,18055.599609375,0
2014-06-26,18055.599609375,18055.599609375,18055.599609375,18055.599609375,0
2014-06-27,18055.599609375,18055.599609375,18055.599609375,18055.599609375,0
2014-06-30,16851.900390625,16851.900390625,16851.900390625,16851.900390625,4860
2014-07-01,16666.69921875,16666.69921875,16666.69921875,16666.69921875,54
2014-07-02,16666.69921875,16666.69921875,16666.69921875,16666.69921875,0
2014-07-03,15555.599609375,15555.599609375,15555.599609375,15555.599609375,3175
2014-07-07,15833.2998046875,15833.2998046875,14907.400390625,14907.400390625,1123
2014-07-08,15833.2998046875,15833.2998046875,15833.2998046875,15833.2998046875,0
2014-07-09,14907.400390625,15277.7998046875,14907.400390625,15277.7998046875,1080
2014-07-10,15370.400390625,15370.400390625,15000.0,15370.400390625,43
2014-07-11,15370.400390625,15370.400390625,15370.400390625,15370.400390625,0
2014-07-14,15555.599609375,15740.7001953125,15555.599609375,15555.599609375,680
2014-07-15,15555.599609375,15555.599609375,15555.599609375,15555.599609375,0
2014-07-16,15555.599609375,15555.599609375,15555.599609375,15555.599609375,0
2014-07-17,15555.599609375,15555.599609375,15555.599609375,15555.599609375,0
2014-07-18,14814.7998046875,14814.7998046875,14814.7998046875,14814.7998046875,2160
2014-07-21,15370.400390625,15370.400390625,15370.400390625,15370.400390625,54
2014-07-22,15370.400390625,15370.400390625,15370.400390625,15370.400390625,0
2014-07-23,15463.0,15463.0,15463.0,15555.599609375,75
2014-07-24,15463.0,15463.0,15463.0,15463.0,0
2014-07-25,15463.0,15463.0,15463.0,15463.0,0
2014-07-28,15463.0,15463.0,15463.0,15463.0,0
2014-07-29,14814.7998046875,14814.7998046875,14814.7998046875,14814.7998046875,1749
2014-07-30,14814.7998046875,14814.7998046875,14814.7998046875,14814.7998046875,1749
2014-07-31,15833.2998046875,15833.2998046875,15833.2998046875,15833.2998046875,32
2014-08-01,15925.900390625,15925.900390625,15925.900390625,15925.900390625,64
2014-08-04,15740.7001953125,15740.7001953125,15740.7001953125,15740.7001953125,604
2014-08-05,15740.7001953125,15740.7001953125,15740.7001953125,15740.7001953125,97
2014-08-06,15740.7001953125,15740.7001953125,15740.7001953125,15740.7001953125,10
2014-08-07,15648.099609375,15648.099609375,15648.099609375,15648.099609375,540
2014-08-08,15555.599609375,15555.599609375,15555.599609375,15555.599609375,2160
2014-08-11,15555.599609375,15555.599609375,15555.599609375,15555.599609375,2160
2014-08-12,15740.7001953125,15740.7001953125,15740.7001953125,15740.7001953125,2160
2014-08-13,15740.7001953125,15740.7001953125,15740.7001953125,15740.7001953125,464
2014-08-14,15740.7001953125,15740.7001953125,15740.7001953125,15740.7001953125,464
2014-08-15,15277.7998046875,15277.7998046875,15277.7998046875,15370.400390625,108
2014-08-18,15092.599609375,15092.599609375,15092.599609375,15185.2001953125,2322
2014-08-19,15463.0,15463.0,15463.0,14814.7998046875,183
2014-08-20,14814.7998046875,14814.7998046875,14814.7998046875,15000.0,2268
2014-08-21,14814.7998046875,14814.7998046875,14814.7998046875,14814.7998046875,216
2014-08-22,14814.7998046875,14814.7998046875,14814.7998046875,14814.7998046875,216
2014-08-25,14814.7998046875,14814.7998046875,14814.7998046875,14814.7998046875,1080
2014-08-26,15000.0,15000.0,15000.0,15000.0,86
