Price,Close,High,Low,Open,Volume
Ticker,MPO,MPO,MPO,MPO,MPO
Date,,,,,
2015-05-01,212.5,219.0,212.0,219.0,27549
2015-05-04,212.5,212.5,212.5,212.5,0
2015-05-05,208.0,216.5,208.0,213.5,21211
2015-05-06,208.5,210.25,208.5,208.5,1064798
2015-05-07,208.0,214.0,206.75,212.0,369472
2015-05-08,209.625,209.625,209.625,209.625,0
2015-05-11,214.5,214.5,207.75,212.5,21284
2015-05-12,211.125,211.25,208.2550048828125,211.25,9403
2015-05-13,211.25,213.5,207.05099487304688,207.05099487304688,48791
2015-05-14,210.25,211.25,207.0,208.5,35187
2015-05-15,207.0,210.25,207.0,207.0,395
2015-05-18,214.5,214.5,210.52499389648438,214.5,6747
2015-05-19,214.0,214.0,209.75,214.0,7722
2015-05-20,213.5,215.0,209.5,214.0,12030
2015-05-21,214.0,215.0,210.0,212.0,10461
2015-05-22,215.0,218.0,210.0,210.0,42332
2015-05-26,212.25,216.10000610351562,209.75,215.0,36589
2015-05-27,217.75,218.0,212.25,212.25,31187
2015-05-28,217.625,218.75,215.0,215.0,6001
2015-05-29,212.5,215.0,210.1999969482422,212.0,59942
2015-06-01,214.75,217.31300354003906,210.0800018310547,210.0800018310547,9667
2015-06-02,215.375,216.68800354003906,212.80299377441406,213.1999969482422,3884
2015-06-03,218.0,218.43800354003906,217.85000610351562,218.0,67544
2015-06-04,218.0,218.68299865722656,216.0,216.0,25557
2015-06-05,220.25,220.75,216.0,216.0,107353
2015-06-08,222.0,222.0,215.2209930419922,222.0,11291
2015-06-09,219.0,219.125,213.6009979248047,219.0,7763
2015-06-10,213.0,213.0,213.0,213.0,16064
2015-06-11,213.0,218.0,212.656005859375,218.0,26846
2015-06-12,213.0,213.0,212.0,213.0,22476
2015-06-15,210.0,213.0,210.0,213.0,7748
2015-06-16,213.75,214.5,210.14599609375,213.0,82707
2015-06-17,215.0,215.0,213.0,214.0,25512
2015-06-18,215.0,215.0,213.0,213.25,21743
2015-06-19,209.0,215.0,209.0,215.0,74560
2015-06-22,215.0,215.0,212.1199951171875,213.5,30972
2015-06-23,215.0,215.0,213.0,215.0,12659
2015-06-24,215.0,215.0,213.25,215.0,23282
2015-06-25,213.625,215.75,212.93800354003906,215.75,9276
2015-06-26,213.75,213.75,213.0,213.75,112
2015-06-29,212.0,214.58799743652344,211.0,212.25,12608
2015-06-30,209.0,214.0,209.0,214.0,32968
2015-07-01,210.0,214.5,209.5,212.0,134042
2015-07-02,212.0,213.5,210.0,213.5,8647
2015-07-06,209.25,210.8769989013672,209.25,209.25,16655
2015-07-07,209.25,210.0,209.25,209.25,12649
2015-07-08,209.0,213.0,209.0,209.25,16840
2015-07-09,208.0,211.0,208.0,209.0,48268
