Price,Close,High,Low,Open,Volume
Ticker,MRCY,MRCY,MRCY,MRCY,MRCY
Date,,,,,
1998-01-30,5.25,5.3125,5.25,5.25,3807200
1998-02-02,5.25,5.4375,5.25,5.3125,434600
1998-02-03,5.375,5.375,5.25,5.3125,323600
1998-02-04,5.375,5.375,5.3125,5.375,260600
1998-02-05,5.375,5.40625,5.3125,5.375,176400
1998-02-06,5.34375,5.4375,5.34375,5.4375,137600
1998-02-09,5.4375,5.4375,5.34375,5.375,57800
1998-02-10,5.25,5.4375,5.1875,5.4375,233800
1998-02-11,5.15625,5.375,4.6875,5.375,237400
1998-02-12,5.125,5.25,5.0625,5.125,82600
1998-02-13,5.09375,5.25,5.0,5.25,35600
1998-02-17,5.09375,5.1875,5.09375,5.1875,24800
1998-02-18,5.0625,5.1875,5.0625,5.1875,45800
1998-02-19,5.21875,5.21875,5.0625,5.0625,175400
1998-02-20,5.25,5.25,5.15625,5.25,37200
1998-02-23,5.25,5.3125,5.25,5.25,59400
1998-02-24,6.5625,6.75,6.0,6.3125,2292000
1998-02-25,7.3125,7.625,6.625,6.9375,1900400
1998-02-26,7.46875,7.5625,7.3125,7.5,1309000
1998-02-27,7.59375,7.625,7.3125,7.5625,465200
1998-03-02,7.875,7.9375,7.4375,7.5,378800
1998-03-03,7.625,7.75,7.4375,7.75,265600
1998-03-04,7.5,7.625,7.40625,7.5,180000
1998-03-05,8.25,8.375,7.4375,7.5,517200
1998-03-06,8.375,8.875,8.25,8.53125,606600
1998-03-09,8.125,8.625,8.0,8.40625,247800
1998-03-10,8.0625,8.3125,7.9375,8.1875,167400
1998-03-11,7.8125,8.0625,7.75,8.0,140200
1998-03-12,8.375,8.375,7.8125,7.875,280200
1998-03-13,8.4375,8.59375,8.25,8.25,190800
1998-03-16,8.3125,8.59375,8.3125,8.4375,110600
1998-03-17,8.4375,8.5,8.3125,8.3125,116600
1998-03-18,9.125,9.25,8.625,8.75,395600
1998-03-19,8.8125,9.21875,8.8125,9.1875,212400
1998-03-20,9.125,9.25,8.875,8.875,122200
1998-03-23,9.09375,9.1875,9.0,9.1875,85000
1998-03-24,9.125,9.25,8.875,9.125,123000
1998-03-25,9.375,9.5625,9.0,9.1875,221400
1998-03-26,9.1875,9.4375,9.1875,9.4375,98600
1998-03-27,9.0,9.3125,8.8125,9.1875,79800
1998-03-30,8.875,9.125,8.875,8.875,28400
1998-03-31,8.625,9.125,8.5,8.875,109000
1998-04-01,8.5,8.8125,8.1875,8.625,133800
1998-04-02,8.8125,9.0,8.4375,8.5625,97600
1998-04-03,8.5,8.9375,8.5,8.6875,163200
1998-04-06,8.1875,8.5625,7.75,8.5,160200
1998-04-07,7.875,8.0625,7.625,8.0,200200
1998-04-08,8.0625,8.125,7.75,7.75,167600
1998-04-09,8.84375,9.0625,8.25,8.375,158600
1998-04-13,8.5,8.9375,8.5,8.9375,90600
1998-04-14,8.5,8.6875,8.375,8.4375,112400
1998-04-15,8.46875,8.5,8.25,8.375,47600
1998-04-16,8.375,8.5,8.375,8.5,48800
1998-04-17,8.625,8.875,8.25,8.5,72400
1998-04-20,8.8125,9.0,8.625,8.625,181400
1998-04-21,8.75,9.0,8.6875,9.0,81000
1998-04-22,8.75,9.5,8.5,9.0,270200
1998-04-23,8.375,9.0,8.375,9.0,77800
1998-04-24,8.25,8.5625,8.125,8.375,46200
1998-04-27,7.875,8.25,7.625,8.125,132800
1998-04-28,8.125,8.375,8.0625,8.0625,78200
1998-04-29,8.1875,8.25,8.0,8.0625,51200
1998-04-30,8.25,8.375,8.0,8.0625,101400
1998-05-01,8.3125,8.3125,8.125,8.25,32800
1998-05-04,8.125,8.3125,7.8125,8.3125,89000
1998-05-05,7.75,8.125,7.75,8.125,34400
1998-05-06,7.625,7.9375,7.5625,7.8125,98200
1998-05-07,8.0,8.0,7.625,7.6875,101600
1998-05-08,7.875,8.0,7.8125,7.8125,57000
1998-05-11,8.25,8.5,7.8125,8.0,62400
1998-05-12,8.25,8.375,8.0,8.375,69800
1998-05-13,8.375,8.5,8.15625,8.25,39000
1998-05-14,8.3125,8.4375,8.3125,8.3125,32400
1998-05-15,8.25,8.4375,8.25,8.3125,30400
1998-05-18,8.3125,8.375,8.1875,8.3125,59400
1998-05-19,8.25,8.375,8.25,8.3125,39400
1998-05-20,8.25,8.375,8.25,8.3125,26000
1998-05-21,8.25,8.3125,8.25,8.25,44200
1998-05-22,8.28125,8.3125,8.1875,8.25,118400
1998-05-26,8.25,8.4375,8.125,8.125,78400
1998-05-27,7.8125,8.25,7.625,8.125,120400
1998-05-28,7.8125,7.875,7.8125,7.8125,11400
1998-05-29,7.875,7.9375,7.8125,7.8125,15600
1998-06-01,7.625,7.875,7.5625,7.875,36800
1998-06-02,7.5625,7.75,7.5625,7.5625,26200
1998-06-03,7.375,7.6875,7.3125,7.5625,56400
1998-06-04,7.25,7.40625,7.0,7.40625,56200
1998-06-05,7.1875,7.25,7.0625,7.25,64400
1998-06-08,7.25,7.25,7.125,7.125,158800
1998-06-09,7.375,7.375,7.1875,7.1875,55400
1998-06-10,7.375,7.5625,7.1875,7.25,98800
1998-06-11,7.375,7.4375,7.3125,7.4375,43000
1998-06-12,7.0625,7.25,6.75,7.25,85400
1998-06-15,6.875,7.0625,6.625,6.9375,40800
1998-06-16,7.4375,7.4375,6.6875,6.875,56600
1998-06-17,7.4375,8.0,7.4375,7.5,75200
1998-06-18,7.25,7.625,7.125,7.4375,25400
1998-06-19,7.375,7.4375,7.1875,7.25,11200
1998-06-22,7.0625,7.25,6.875,7.25,17400
1998-06-23,6.875,7.0625,6.6875,6.875,79600
1998-06-24,6.375,7.0,6.125,7.0,117200
1998-06-25,6.828125,7.0,6.25,6.375,313200
1998-06-26,6.75,6.9375,6.71875,6.875,35800
1998-06-29,6.5,6.6875,6.4375,6.6875,59200
1998-06-30,7.25,7.25,6.4375,6.4375,194200
1998-07-01,7.0,7.375,6.9375,7.25,70800
1998-07-02,7.625,7.625,6.9375,7.125,110000
