Price,Close,High,Low,Open,Volume
Ticker,NVR,NVR,NVR,NVR,NVR
Date,,,,,
1991-04-08,1.625,1.625,1.375,1.375,55100
1991-04-09,1.5,1.625,1.5,1.5,34900
1991-04-10,1.625,1.625,1.5,1.625,48600
1991-04-11,1.5,1.625,1.5,1.5,42800
1991-04-12,1.5,1.625,1.375,1.625,37700
1991-04-15,1.375,1.5,1.375,1.375,11800
1991-04-16,1.5,1.5,1.375,1.375,29900
1991-04-17,1.375,1.5,1.375,1.5,34700
1991-04-18,1.375,1.5,1.375,1.375,40600
1991-04-19,1.5,1.5,1.375,1.375,12700
1991-04-22,1.375,1.5,1.375,1.375,12600
1991-04-23,1.375,1.5,1.375,1.5,7400
1991-04-24,1.375,1.375,1.375,1.375,2500
1991-04-25,1.375,1.375,1.25,1.25,13400
1991-04-26,1.375,1.375,1.375,1.375,17700
1991-04-29,1.25,1.375,1.25,1.375,1900
1991-04-30,1.375,1.375,1.25,1.25,29900
1991-05-01,1.5,1.5,1.375,1.375,31200
1991-05-02,1.5,1.5,1.375,1.5,23100
1991-05-03,1.375,1.5,1.375,1.5,12300
1991-05-06,1.5,1.5,1.25,1.375,17200
1991-05-07,1.5,1.5,1.375,1.375,4600
1991-05-08,1.375,1.375,1.375,1.375,5500
1991-05-09,1.25,1.375,1.25,1.375,11000
1991-05-10,1.375,1.375,1.25,1.375,7800
1991-05-13,1.25,1.375,1.25,1.375,4900
1991-05-14,1.25,1.375,1.25,1.25,16000
1991-05-15,1.25,1.25,1.25,1.25,5400
1991-05-16,1.25,1.375,1.25,1.375,13300
1991-05-17,1.375,1.375,1.25,1.25,10500
1991-05-20,1.375,1.5,1.25,1.25,41100
1991-05-21,1.25,1.375,1.25,1.25,30000
1991-05-22,1.125,1.375,1.125,1.375,34500
1991-05-23,1.125,1.25,1.125,1.125,4000
1991-05-24,1.25,1.25,1.125,1.25,8600
1991-05-28,1.25,1.25,1.125,1.125,12800
1991-05-29,1.375,1.375,1.25,1.25,28300
1991-05-30,1.25,1.375,1.25,1.25,4900
1991-05-31,1.25,1.375,1.25,1.375,23600
