Price,Close,High,Low,Open,Volume
Ticker,PEGX,PEGX,PEGX,PEGX,PEGX
Date,,,,,
2003-06-03,1289.5,1342.5,1193.0,1252.0,2908
2003-06-04,1350.5,1359.0,1250.0,1250.0,1231
2003-06-05,1388.0,1419.0,1352.0,1353.5,1638
2003-06-06,1321.5,1436.5,1317.0,1397.0,783
2003-06-09,1340.0,1425.0,1275.5,1316.5,1478
2003-06-10,1321.0,1357.0,1276.0,1350.5,780
2003-06-11,1352.5,1371.0,1321.5,1336.0,580
2003-06-12,1401.949951171875,1419.0,1343.5,1350.5,800
2003-06-13,1362.0,1411.5,1357.0,1395.0,1019
2003-06-16,1369.5,1398.0,1353.0,1353.0,646
2003-06-17,1385.0,1396.0,1366.5,1366.5,595
2003-06-18,1380.050048828125,1398.0,1323.0,1384.0,1421
2003-06-19,1378.5,1407.5,1363.5,1394.949951171875,348
2003-06-20,1390.0,1396.0,1362.0,1362.0,471
2003-06-23,1360.0,1394.0,1348.5,1381.5,598
2003-06-24,1381.0,1404.0,1302.5,1349.0,982
2003-06-25,1435.0,1448.5,1350.0,1350.0,1548
2003-06-26,1453.5,1483.5,1409.0,1419.0,674
2003-06-27,1469.0,1475.5,1445.5,1456.0,504
2003-06-30,1458.0,1489.0,1457.5,1474.5,3650
2003-07-01,1483.5,1489.0,1469.0,1475.0,907
2003-07-02,1464.0,1484.0,1445.5,1483.5,224
2003-07-03,1475.0,1475.0,1462.0,1474.5,168
2003-07-07,1566.0,1598.5,1477.0,1489.0,1370
2003-07-08,1588.0,1614.0,1562.050048828125,1589.0,451
2003-07-09,1618.5,1691.0,1587.0,1597.0,1102
2003-07-10,1628.5,1648.0,1613.0,1626.5,729
2003-07-11,1629.5,1661.5,1614.5,1638.5,483
2003-07-14,1660.0,1688.5,1637.5,1639.0,744
2003-07-15,1647.5,1686.0,1641.0,1665.5,362
2003-07-16,1570.0,1650.0,1543.0,1647.0,925
2003-07-17,1573.0,1580.0,1509.5,1542.5,544
2003-07-18,1587.0,1604.5,1550.0,1592.0,270
2003-07-21,1578.5,1599.5,1567.5,1587.5,175
2003-07-22,1614.0,1614.5,1577.0,1580.0,84
2003-07-23,1688.0,1747.5,1601.5,1601.5,3013
2003-07-24,1708.0,1730.5,1661.050048828125,1725.0,3614
2003-07-25,1848.5,1995.0,1712.5,1714.0,9500
2003-07-28,1944.0,1995.0,1866.5,1866.5,3020
2003-07-29,1924.5,1997.5,1902.0,1965.0,1076
2003-07-30,1895.5,1939.5,1876.0,1939.5,2501
2003-07-31,1789.5,1941.5,1753.5,1908.0,1138
2003-08-01,1784.0,1828.5,1731.5,1775.5,1888
2003-08-04,1803.0,1832.5,1757.5,1783.0,1610
2003-08-05,1786.0,1823.5,1782.5,1802.5,516
2003-08-06,1739.0,1827.5,1739.0,1781.0,1553
2003-08-07,1806.0,1864.0,1725.5,1727.0,1168
2003-08-08,1845.0,1867.5,1785.5,1812.5,1161
2003-08-11,1155.0,1832.0,1122.0,1830.5,96528
2003-08-12,1102.5,1225.5,1054.5,1210.5999755859375,52857
2003-08-13,1045.0,1140.0,1013.5,1071.5,29711
2003-08-14,1047.5,1095.0,1011.0,1060.5,13071
2003-08-15,1027.5,1063.0,1025.0,1047.0,2285
2003-08-18,1050.0,1068.5,1013.0,1027.5,4029
2003-08-19,1075.0,1099.5,1065.5,1067.5,9253
2003-08-20,1125.0,1135.0,1075.0,1075.0,6141
2003-08-21,1111.5,1155.5,1071.0,1155.0,3523
2003-08-22,1050.5,1127.5,1041.0,1113.5,6452
2003-08-25,934.0,979.0,855.5,977.5,14584
2003-08-26,949.5,965.5,910.5,912.0,3397
2003-08-27,950.0,959.0,937.5,959.0,1305
2003-08-28,956.0,958.0,940.0,949.5,1561
2003-08-29,963.5,964.5,940.0,961.0,901
2003-09-02,980.0,982.0,958.0,963.0,2847
2003-09-03,950.0,993.5,944.5,989.5,2116
2003-09-04,905.0,955.0,895.0,954.0,3161
2003-09-05,860.0,910.5,856.5,904.5,2089
2003-09-08,850.0,870.5,842.5,870.5,3309
2003-09-09,853.0,875.5,847.0,869.5,1919
2003-09-10,791.5,867.0,775.0,850.0,4557
2003-09-11,752.0,808.5,752.0,790.0,3537
2003-09-12,715.0,748.5,709.5,740.0,3117
2003-09-15,727.0,747.5,714.5,714.5,2714
2003-09-16,736.0,753.0,722.5,730.0,2077
