Price,Close,High,Low,Open,Volume
Ticker,QUBT,QUBT,QUBT,QUBT,QUBT
Date,,,,,
2012-04-25,2.0,2.0,2.0,2.0,0
2012-04-26,2.0,2.0,2.0,2.0,0
2012-04-27,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,2
2012-04-30,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-01,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-02,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-03,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-04,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-07,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-08,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,4
2012-05-09,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-10,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-05-11,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,20
2012-05-14,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,53
2012-05-15,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,2
2012-05-16,5.0,5.0,5.0,5.0,520
2012-05-17,5.0,5.0,5.0,5.0,10
2012-05-18,5.0,5.0,5.0,5.0,0
2012-05-21,5.0,5.0,5.0,5.0,0
2012-05-22,5.0,5.0,5.0,5.0,0
2012-05-23,5.0,5.0,5.0,5.0,0
2012-05-24,5.0,5.0,5.0,5.0,0
2012-05-25,5.0,5.0,5.0,5.0,0
2012-05-29,8.0,8.0,2.200000047683716,2.200000047683716,85
2012-05-30,8.0,8.0,8.0,8.0,0
2012-05-31,8.0,8.0,8.0,8.0,0
2012-06-01,8.0,8.0,8.0,8.0,0
2012-06-04,7.0,7.0,7.0,7.0,5
2012-06-05,4.0,4.0,4.0,4.0,5
2012-06-06,4.0,4.0,4.0,4.0,0
2012-06-07,4.0,4.0,4.0,4.0,5
2012-06-08,4.0,4.0,4.0,4.0,0
2012-06-11,4.0,4.0,4.0,4.0,6
2012-06-12,4.0,4.0,4.0,4.0,1
2012-06-13,6.199999809265137,6.199999809265137,5.800000190734863,5.800000190734863,546
2012-06-14,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,0
2012-06-15,4.0,4.0,4.0,4.0,4
2012-06-18,7.0,7.0,7.0,7.0,50
2012-06-19,7.0,7.0,4.199999809265137,7.0,135
2012-06-20,7.0,7.0,7.0,7.0,75
2012-06-21,7.0,7.0,7.0,7.0,0
2012-06-22,7.0,7.0,7.0,7.0,0
2012-06-25,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,2
2012-06-26,6.0,6.0,6.0,6.0,25
2012-06-27,6.0,6.0,6.0,6.0,0
2012-06-28,6.0,6.0,6.0,6.0,0
2012-06-29,6.0,6.0,6.0,6.0,0
2012-07-02,6.0,6.0,6.0,6.0,4
2012-07-03,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,1
2012-07-05,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-06,6.0,6.0,6.0,6.0,25
2012-07-09,6.0,6.0,6.0,6.0,0
2012-07-10,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,9
2012-07-11,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-12,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-13,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-16,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-17,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,54
2012-07-18,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-19,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-20,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,5
2012-07-23,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,14
2012-07-24,4.199999809265137,5.0,4.199999809265137,5.0,375
2012-07-25,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0
2012-07-26,3.0,3.0,3.0,3.0,1
2012-07-27,3.0,3.0,3.0,3.0,105
2012-07-30,3.0,3.0,3.0,3.0,2
2012-07-31,3.0,3.0,3.0,3.0,0
2012-08-01,3.0,3.0,3.0,3.0,0
2012-08-02,3.0,3.0,3.0,3.0,0
2012-08-03,3.0,3.0,3.0,3.0,0
2012-08-06,3.0,3.0,3.0,3.0,5
2012-08-07,3.0,3.0,3.0,3.0,0
2012-08-08,3.0,3.0,3.0,3.0,0
2012-08-09,3.0,3.0,3.0,3.0,0
2012-08-10,3.0,3.0,3.0,3.0,25
2012-08-13,3.0,3.0,3.0,3.0,8
2012-08-14,3.0,3.0,3.0,3.0,0
2012-08-15,3.0,3.0,3.0,3.0,0
2012-08-16,3.0,3.0,3.0,3.0,0
2012-08-17,3.0,3.0,3.0,3.0,0
2012-08-20,3.0,3.0,3.0,3.0,55
2012-08-21,3.0,3.0,3.0,3.0,2
2012-08-22,3.0,3.0,3.0,3.0,0
2012-08-23,3.0,3.0,3.0,3.0,14
2012-08-24,3.0,3.0,3.0,3.0,0
2012-08-27,3.0,3.0,3.0,3.0,0
2012-08-28,3.0,3.0,3.0,3.0,0
2012-08-29,3.0,3.0,3.0,3.0,0
2012-08-30,3.0,3.0,3.0,3.0,20
2012-08-31,3.0,3.0,3.0,3.0,0
2012-09-04,3.0,3.0,3.0,3.0,0
2012-09-05,3.0,3.0,3.0,3.0,0
2012-09-06,3.0,3.0,3.0,3.0,1
2012-09-07,3.0,3.0,3.0,3.0,0
2012-09-10,2.0,3.0,2.0,3.0,175
2012-09-11,2.0,2.0,2.0,2.0,0
2012-09-12,2.0,2.0,2.0,2.0,0
2012-09-13,2.0,2.0,2.0,2.0,0
2012-09-14,2.0,2.0,2.0,2.0,0
2012-09-17,2.0,2.0,2.0,2.0,13
2012-09-18,2.0,2.0,2.0,2.0,50
2012-09-19,2.0,2.0,2.0,2.0,5
2012-09-20,2.0,2.0,2.0,2.0,0
2012-09-21,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,5
2012-09-24,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0
2012-09-25,6.0,6.0,6.0,6.0,50
2012-09-26,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,45
2012-09-27,4.0,4.0,4.0,4.0,5
2012-09-28,4.0,4.0,4.0,4.0,0
2012-10-01,4.0,4.0,4.0,4.0,0
2012-10-02,4.0,4.0,4.0,4.0,0
2012-10-03,4.0,4.0,4.0,4.0,0
2012-10-04,4.0,4.0,4.0,4.0,0
2012-10-05,4.0,4.0,4.0,4.0,0
2012-10-08,4.0,4.0,1.0,1.0,72
2012-10-09,4.0,4.0,4.0,4.0,0
2012-10-10,4.0,4.0,4.0,4.0,0
2012-10-11,3.5999999046325684,3.5999999046325684,1.2000000476837158,1.2000000476837158,163
2012-10-12,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2012-10-15,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2012-10-16,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2012-10-17,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3
2012-10-18,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,3
2012-10-19,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0
2012-10-22,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0
2012-10-23,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,25
2012-10-24,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0
2012-10-25,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,28
2012-10-26,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0
2012-10-31,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0
2012-11-01,2.0,2.0,2.0,2.0,26
2012-11-02,2.0,2.0,2.0,2.0,0
2012-11-05,2.0,2.0,2.0,2.0,0
2012-11-06,2.0,2.0,2.0,2.0,0
2012-11-07,1.600000023841858,2.0,1.600000023841858,2.0,230
2012-11-08,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0
2012-11-09,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0
2012-11-12,1.2000000476837158,1.600000023841858,0.6000000238418579,0.6000000238418579,311
2012-11-13,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0
2012-11-14,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0
2012-11-15,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158,0
2012-11-16,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,27
2012-11-19,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,0
2012-11-20,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,25
