Price,Close,High,Low,Open,Volume
Ticker,RITE,RITE,RITE,RITE,RITE
Date,,,,,
2002-09-30,250.0,250.0,250.0,250.0,2
2002-10-01,250.0,250.0,250.0,250.0,0
2002-10-02,250.0,250.0,250.0,250.0,0
2002-10-03,250.0,250.0,250.0,250.0,2
2002-10-04,250.0,250.0,250.0,250.0,0
2002-10-07,250.0,250.0,250.0,250.0,0
2002-10-08,250.0,250.0,50.0,175.0,22
2002-10-09,250.0,250.0,250.0,250.0,0
2002-10-10,250.0,250.0,250.0,250.0,0
2002-10-11,200.0,200.0,175.0,175.0,12
2002-10-14,200.0,200.0,200.0,200.0,0
2002-10-15,200.0,200.0,200.0,200.0,0
2002-10-16,200.0,200.0,200.0,200.0,0
2002-10-17,182.5,182.5,162.5,175.0,42
2002-10-18,162.5,200.0,162.5,162.5,56
2002-10-21,80.0,150.0,80.0,125.0,88
2002-10-22,150.0,187.5,80.0,80.0,228
2002-10-23,150.0,155.0,150.0,150.0,50
2002-10-24,125.0,150.0,125.0,150.0,30
2002-10-25,175.0,175.0,157.5,157.5,38
2002-10-28,175.0,175.0,175.0,175.0,20
2002-10-29,175.0,175.0,175.0,175.0,0
2002-10-30,125.0,160.0,125.0,157.5,116
2002-10-31,125.0,125.0,125.0,125.0,0
2002-11-01,150.0,162.5,125.0,125.0,100
2002-11-04,125.0,200.0,125.0,200.0,24
2002-11-05,195.0,195.0,130.0,130.0,26
2002-11-06,200.0,200.0,200.0,200.0,10
2002-11-07,200.0,250.0,167.5,167.5,134
2002-11-08,214.0,214.0,200.0,200.0,74
2002-11-11,175.0,175.0,175.0,175.0,6
2002-11-12,214.0,214.0,212.5,212.5,20
2002-11-13,250.0,250.0,250.0,250.0,20
2002-11-14,225.0,250.0,225.0,250.0,30
2002-11-15,225.0,225.0,225.0,225.0,0
2002-11-18,215.0,215.0,212.5,212.5,20
2002-11-19,215.0,215.0,215.0,215.0,0
2002-11-20,175.0,175.0,175.0,175.0,12
2002-11-21,162.5,175.0,162.5,175.0,48
2002-11-22,125.0,162.5,125.0,162.5,20
2002-11-25,100.0,100.0,100.0,100.0,84
2002-11-26,100.0,100.0,100.0,100.0,0
