Price,Close,High,Low,Open,Volume
Ticker,SHJ,SHJ,SHJ,SHJ,SHJ
Date,,,,,
2008-09-15,6.25,6.25,6.25,6.25,30
2008-09-16,5.25,5.75,5.25,5.75,2000
2008-09-17,5.25,5.75,5.25,5.75,2000
2008-09-18,5.25,5.25,5.25,5.25,1130
2008-09-19,5.25,5.25,5.25,5.25,0
2008-09-22,4.75,6.25,4.75,4.75,1449
2008-09-23,4.75,4.75,4.75,4.75,0
2008-09-24,4.75,4.75,4.5,4.75,2540
2008-09-25,4.75,5.0,4.75,4.75,2540
2008-09-26,4.75,4.75,4.75,4.75,0
2008-09-29,4.0,4.0,4.0,4.0,100
2008-09-30,5.5,6.5,4.75,4.75,1660
2008-10-01,6.75,6.75,6.25,6.25,700
2008-10-02,6.75,6.75,6.75,6.75,0
2008-10-03,5.5,5.5,5.5,5.5,200
2008-10-06,5.5,5.5,5.5,5.5,0
2008-10-07,6.75,6.75,6.75,6.75,200
2008-10-08,6.75,6.75,6.75,6.75,0
2008-10-09,5.5,6.25,5.5,6.25,500
2008-10-10,4.75,5.5,4.75,5.5,3600
2008-10-13,4.75,4.75,4.75,4.75,0
2008-10-14,5.0,5.0,5.0,5.0,200
2008-10-15,5.0,5.0,5.0,5.0,0
2008-10-16,4.75,5.25,4.75,5.0,2300
2008-10-17,4.75,4.75,4.75,4.75,1360
2008-10-20,4.75,4.75,4.75,4.75,0
2008-10-21,4.75,4.75,4.75,4.75,0
2008-10-22,4.75,4.75,4.75,4.75,0
2008-10-23,4.75,4.75,4.75,4.75,1600
2008-10-24,6.5,6.5,4.75,4.75,2006
2008-10-27,4.75,4.75,4.75,4.75,2320
2008-10-28,4.5,4.75,4.5,4.75,800
2008-10-29,4.5,4.5,4.5,4.5,0
2008-10-30,4.5,4.5,4.5,4.5,0
2008-10-31,4.5,4.5,4.5,4.5,0
2008-11-03,4.5,4.5,4.5,4.5,0
2008-11-04,4.5,4.5,4.5,4.5,0
2008-11-05,6.5,6.5,5.0,5.0,1040
2008-11-06,5.0,5.0,5.0,5.0,6600
2008-11-07,5.0,5.0,5.0,5.0,120
2008-11-10,5.0,5.0,5.0,5.0,2000
2008-11-11,5.0,5.0,5.0,5.0,0
2008-11-12,5.0,5.0,5.0,5.0,1200
2008-11-13,4.75,5.0,4.75,5.0,1080
2008-11-14,4.5,4.5,4.5,4.5,160
2008-11-17,4.5,4.5,4.5,4.5,0
2008-11-18,4.75,4.75,4.75,4.75,300
2008-11-19,5.0,5.0,5.0,5.0,1600
2008-11-20,5.0,5.0,5.0,5.0,1990
2008-11-21,4.5,5.0,4.5,5.0,1020
2008-11-24,4.5,4.5,4.5,4.5,0
2008-11-25,4.75,4.75,4.75,4.75,760
2008-11-26,4.75,4.75,4.75,4.75,446
2008-11-28,4.75,4.75,4.75,4.75,160
2008-12-01,4.75,4.75,4.75,4.75,0
2008-12-02,4.5,4.75,4.5,4.75,340
2008-12-03,4.5,4.5,4.5,4.5,0
