Price,Close,High,Low,Open,Volume
Ticker,TISI,TISI,TISI,TISI,TISI
Date,,,,,
2008-04-07,296.20001220703125,299.8999938964844,292.29998779296875,296.5,14270
2008-04-08,300.3999938964844,301.20001220703125,292.3999938964844,293.1000061035156,28380
2008-04-09,299.79998779296875,301.5,297.5,300.3999938964844,16060
2008-04-10,312.20001220703125,314.1000061035156,299.20001220703125,301.0,21010
2008-04-11,301.79998779296875,311.6000061035156,299.70001220703125,310.0,12710
2008-04-14,302.79998779296875,303.8999938964844,294.6000061035156,300.1000061035156,16210
2008-04-15,308.3999938964844,315.8999938964844,301.0,304.20001220703125,15870
2008-04-16,311.3999938964844,316.1000061035156,292.70001220703125,312.1000061035156,23880
2008-04-17,316.0,319.29998779296875,311.6000061035156,314.0,23960
2008-04-18,312.8999938964844,321.3999938964844,302.8999938964844,319.5,28000
2008-04-21,312.8999938964844,313.0,307.5,311.0,39860
2008-04-22,306.6000061035156,313.20001220703125,303.8999938964844,310.79998779296875,15330
2008-04-23,311.0,311.20001220703125,300.0,307.79998779296875,9440
2008-04-24,305.20001220703125,309.70001220703125,297.3999938964844,309.70001220703125,16200
2008-04-25,308.0,310.0,302.8999938964844,307.3999938964844,10130
2008-04-28,303.79998779296875,310.0,302.0,308.3999938964844,12100
2008-04-29,297.70001220703125,309.79998779296875,297.3999938964844,303.79998779296875,9180
2008-04-30,297.29998779296875,304.5,296.20001220703125,298.79998779296875,13070
2008-05-01,305.20001220703125,306.1000061035156,297.20001220703125,297.20001220703125,11100
2008-05-02,303.5,307.70001220703125,301.5,306.3999938964844,11480
2008-05-05,296.6000061035156,302.79998779296875,296.1000061035156,301.79998779296875,7720
2008-05-06,293.0,295.6000061035156,290.8999938964844,295.0,8450
2008-05-07,285.8999938964844,292.79998779296875,285.8999938964844,292.79998779296875,9110
2008-05-08,291.20001220703125,295.6000061035156,284.29998779296875,287.20001220703125,8410
2008-05-09,290.0,290.20001220703125,282.3999938964844,288.79998779296875,6940
2008-05-12,295.6000061035156,296.20001220703125,287.5,293.3999938964844,19960
2008-05-13,296.8999938964844,298.5,291.1000061035156,294.8999938964844,5090
2008-05-14,297.79998779296875,299.79998779296875,293.0,297.1000061035156,6090
2008-05-15,295.5,297.3999938964844,294.6000061035156,297.3999938964844,8120
2008-05-16,290.29998779296875,297.20001220703125,289.0,297.20001220703125,9190
2008-05-19,280.29998779296875,291.20001220703125,270.0,289.79998779296875,14090
2008-05-20,272.20001220703125,281.70001220703125,272.20001220703125,279.6000061035156,11330
2008-05-21,278.70001220703125,282.5,271.70001220703125,272.8999938964844,14080
2008-05-22,291.5,291.5,277.70001220703125,278.5,9740
2008-05-23,289.70001220703125,292.70001220703125,285.8999938964844,291.70001220703125,16530
2008-05-27,290.79998779296875,293.6000061035156,287.5,290.6000061035156,14470
2008-05-28,305.0,305.0,293.1000061035156,293.1000061035156,34420
2008-05-29,315.5,317.70001220703125,303.70001220703125,303.70001220703125,13400
2008-05-30,320.3999938964844,320.79998779296875,310.79998779296875,315.29998779296875,12760
2008-06-02,311.20001220703125,322.79998779296875,306.6000061035156,319.6000061035156,11770
2008-06-03,309.3999938964844,317.6000061035156,307.79998779296875,312.8999938964844,11430
2008-06-04,321.6000061035156,323.29998779296875,306.29998779296875,308.0,14130
2008-06-05,334.70001220703125,339.29998779296875,319.70001220703125,321.20001220703125,24510
2008-06-06,315.1000061035156,334.79998779296875,314.5,334.79998779296875,15180
2008-06-09,321.29998779296875,323.79998779296875,310.6000061035156,315.1000061035156,8320
2008-06-10,319.29998779296875,323.3999938964844,313.5,320.20001220703125,10940
2008-06-11,318.1000061035156,319.8999938964844,311.79998779296875,318.0,7540
2008-06-12,322.0,325.5,319.20001220703125,320.0,13240
2008-06-13,336.5,336.5,321.0,324.8999938964844,22000
2008-06-16,334.70001220703125,336.29998779296875,329.5,335.0,11130
