Price,Close,High,Low,Open,Volume
Ticker,USMJ,USMJ,USMJ,USMJ,USMJ
Date,,,,,
2012-11-12,4.0,4.0,4.0,4.0,4
2012-11-13,2.0,4.0,2.0,2.0,423
2012-11-14,2.0,2.0,2.0,2.0,333
2012-11-15,2.0,2.0,2.0,2.0,538
2012-11-16,4.0,4.0,4.0,4.0,5
2012-11-19,4.0,4.0,2.0,4.0,91
2012-11-20,4.0,4.0,2.0,2.0,415
2012-11-21,2.0,4.0,2.0,4.0,38
2012-11-23,4.0,4.0,2.0,4.0,701
2012-11-26,4.0,4.0,2.0,4.0,1194
2012-11-27,2.0,4.0,2.0,2.0,215
2012-11-28,4.0,4.0,2.0,2.0,191
2012-11-29,2.0,4.0,2.0,4.0,526
2012-11-30,4.0,4.0,2.0,2.0,257
2012-12-03,2.0,2.0,2.0,2.0,332
2012-12-04,2.0,2.0,2.0,2.0,500
2012-12-05,4.0,4.0,4.0,4.0,37
2012-12-06,4.0,4.0,4.0,4.0,0
2012-12-07,4.0,4.0,2.0,2.0,36
2012-12-10,4.0,4.0,4.0,4.0,10
2012-12-11,4.0,4.0,2.0,2.0,42
2012-12-12,2.0,4.0,2.0,4.0,1098
2012-12-13,2.0,2.0,2.0,2.0,100
2012-12-14,2.0,4.0,2.0,2.0,748
2012-12-17,2.0,2.0,2.0,2.0,237
2012-12-18,4.0,4.0,2.0,2.0,170
2012-12-19,2.0,4.0,2.0,4.0,75
2012-12-20,2.0,4.0,2.0,4.0,367
2012-12-21,4.0,4.0,2.0,2.0,62
2012-12-24,4.0,4.0,4.0,4.0,10
2012-12-26,4.0,4.0,2.0,2.0,125
2012-12-27,4.0,4.0,4.0,4.0,4
2012-12-28,2.0,4.0,2.0,4.0,368
2012-12-31,4.0,4.0,2.0,2.0,305
2013-01-02,4.0,4.0,4.0,4.0,165
2013-01-03,2.0,4.0,2.0,4.0,89
2013-01-04,4.0,4.0,2.0,4.0,551
2013-01-07,4.0,4.0,4.0,4.0,375
