Price,Close,High,Low,Open,Volume
Ticker,WAXS,WAXS,WAXS,WAXS,WAXS
Date,,,,,
2000-04-04,19.25,20.25,17.0,19.25,936200
2000-04-05,18.625,19.125,18.25,18.625,296400
2000-04-06,18.75,19.75,18.25,18.75,274800
2000-04-07,20.0,20.062999725341797,19.0,20.0,742900
2000-04-10,18.875,20.375,18.625,18.875,328400
2000-04-11,17.937999725341797,18.5,17.375,17.937999725341797,643000
2000-04-12,16.625,18.125,16.437999725341797,16.625,702400
2000-04-13,16.0,17.375,16.0,16.0,480100
2000-04-14,14.125,16.0,14.0,14.125,1159900
2000-04-17,15.437999725341797,15.875,13.875,15.437999725341797,861400
2000-04-18,17.25,17.312999725341797,15.437999725341797,17.25,556700
2000-04-19,16.25,17.437999725341797,16.25,16.25,201800
2000-04-20,16.5,16.75,15.75,16.5,274200
2000-04-24,14.687999725341797,16.625,14.687999725341797,14.687999725341797,287500
2000-04-25,15.312999725341797,15.625,15.0,15.312999725341797,551900
2000-04-26,16.0,16.437999725341797,15.125,16.0,508400
2000-04-27,15.5,15.75,15.0,15.5,415600
2000-04-28,15.75,15.75,15.375,15.75,319900
2000-05-01,17.0,17.0,15.625,17.0,303100
2000-05-02,16.5,16.75,16.375,16.5,541600
2000-05-03,15.75,16.5,15.75,15.75,560400
2000-05-04,16.5,16.5,15.562999725341797,16.5,341000
2000-05-05,16.187999725341797,16.5,15.875,16.187999725341797,90300
2000-05-08,15.75,16.375,15.5,15.75,167500
2000-05-09,15.0,15.937999725341797,15.0,15.0,200300
2000-05-10,13.812999725341797,15.25,13.5,13.812999725341797,620800
2000-05-11,14.312999725341797,14.5,13.687999725341797,14.312999725341797,571900
2000-05-12,14.437999725341797,14.75,14.312999725341797,14.437999725341797,509000
2000-05-15,14.125,14.75,13.75,14.125,366400
2000-05-16,14.062999725341797,14.437999725341797,13.625,14.062999725341797,214000
2000-05-17,13.625,14.062999725341797,13.375,13.625,298200
2000-05-18,12.75,14.0,12.625,12.75,377500
2000-05-19,11.937999725341797,12.937999725341797,11.937999725341797,11.937999725341797,405800
