Entreprise,Ticker
"Hayes Lemmerz International, Inc. (2001)",HAZ
"Hayes Lemmerz International, Inc. (2009)",HAZ
Healthco International Inc.,HCSG
"Heartland Wireless Communications, Inc.",HTLD
Hechinger Company,STX
Hecks Inc.,HEI
"Hedstrom Holdings, Inc.",HSTM
Heilig-Meyers Company,NON_TROUVE
"Herbst Gaming, Inc.",NON_TROUVE
"Hercules Offshore, Inc.",HEROQ
"Hercules Offshore, Inc. (2016)",HERO
"Hertz Global Holdings, Inc. (Hertz Corporation)",HTZ
Hexcel Corp.,HXL
Hexion Inc.,HXOH
"hhgregg, Inc.",HGGG
Hi-Crush Inc.,HCLP
High Voltage Engineering Corporation (2004),NON_TROUVE
High Voltage Engineering Corporation (2005),NON_TROUVE
"Highland Superstores, Inc.",XHFOX
"Highlands Insurance Group, Inc.",HHDS
HighPoint Resources Corporation,HPR
Hills Department Stores Inc.,HDS
Hillsborough Holdings Corp.,H
"Hines Horticulture, Inc.",MM
Hoku Corporation,HOKUQ
"Holt Group, Inc.",HOLT
"Home Holdings, Inc.",HOME
HomeBanc Corp.,HBCP
Horizon PCS Inc.,HRZN
"Hornbeck Offshore Services, Inc.",HOS
Horsehead Holding Corp.,ZINCQ
"Hospitality Investors Trust, Inc.",AHT
"House of Fabrics, Inc.",HFAB
HRT Industries Inc.,HRTX
Huffy Corp.,HUF
Hunt International Resources Corp.,HUNT
Huntsman Polymers Corp,HUN
Hvide Marine Incorporated,NON_TROUVE
"ICG Communications, Inc.",ICG
ICH Corporation,ICH
Idearc Inc.,IAR
"iHeartMedia, Inc.",IHRT
Illinois Power Generating Company,NRG
Impath Inc.,PATH
"Imperial Capital Bancorp, Inc.",CBNK
Imperial Home Decor Group Inc.,NON_TROUVE
Imperial Sugar Company,IPSU
"IMPSAT Fiber Networks, Inc.",LUMN
Inacom Corp.,NON_TROUVE
"Indalex Holdings Finance, Inc.",INLDX
"IndyMac Bancorp, Inc",IMB
"InPhonic, Inc.",INPC
InSight Health Services Holdings Corp,NSIT
Insilco Corp.,NON_TROUVE
"Integrated Electrical Services, Inc.",IESC
"Integrated Health Services, Inc.",IHTI
Integrated Resources Inc.,ITRG
"Integrity Bancshares, Inc.",EQBK
Intelsat S.A.,INTEQ
Interco Inc.,INTR
